rank,cand,composite,pose_pass3,ipsae_avg,scdq_avg,bz_ipsae,ef_ipsae,bz_scdq,ef_scdq,px_scdq,px_iptm,backbone,method
27,cand01347,-0.443,1,0.7228,0.8000,0.8291,0.6166,0.883,0.763,0.754,0.916232,4ZQK_binder_1,SolubleMPNN
28,cand00150,-0.668,1,0.7426,0.7083,0.6495,0.8356,0.6,0.74,0.785,0.749791,5C3T_binder_15,SolubleMPNN
29,cand02300,-0.802,1,0.6695,0.9407,0.8392,0.4999,0.958,0.934,0.93,0.898321,pdl1_binder_0,SolubleMPNN
30,cand02218,-0.806,1,0.7639,0.6207,0.8114,0.7164,0.56,0.8,0.502,0.833126,4ZQK_binder_2,SolubleMPNN
31,cand01590,-1.151,1,0.6645,0.9190,0.7529,0.5762,0.868,0.934,0.955,0.911933,pdl1_binder_0,ProteinMPNN
32,cand01739,-1.375,1,0.6735,0.8640,0.7616,0.5853,0.928,0.872,0.792,0.816179,4ZQK_binder_1,SolubleMPNN
33,cand01958,-1.815,1,0.6551,0.8773,0.7836,0.5266,0.823,0.932,0.877,0.897754,pdl1_binder_0,ProteinMPNN
34,cand02429,-2.011,1,0.6743,0.7907,0.8104,0.5382,0.792,0.794,0.786,0.762898,4Z18_binder_4,ProteinMPNN
35,cand01838,-3.107,1,0.7278,0.4880,0.8362,0.6194,0.676,0.451,0.337,0.861304,4ZQK_binder_13,SolubleMPNN
36,cand01526,-3.384,1,0.6676,0.6613,0.7548,0.5803,0.69,0.768,0.526,0.729813,4Z18_binder_15,SolubleMPNN
37,cand02070,-3.546,1,0.6260,0.7843,0.7634,0.4885,0.88,0.738,0.735,0.891287,pdl1_binder_0,SolubleMPNN
38,cand01469,-5.350,1,0.5985,0.6773,0.7874,0.4096,0.81,0.49,0.732,0.698943,pdl1_binder_3,SolubleMPNN
39,cand02117,-6.094,1,0.5590,0.7287,0.8915,0.2265,0.747,0.754,0.685,0.674861,4Z18_binder_13,SolubleMPNN
40,cand01320,-6.151,1,0.5324,0.8123,0.7543,0.3106,0.879,0.795,0.763,0.635668,4Z18_binder_11,SolubleMPNN
41,cand01894,-10.836,1,0.3760,0.8230,0.7334,0.0186,0.817,0.772,0.88,0.553611,5C3T_binder_0,ProteinMPNN
42,cand00658,-11.544,1,0.4501,0.4937,0.7139,0.1862,0.666,0.57,0.245,0.619884,5C3T_binder_4,SolubleMPNN
43,cand02343,-12.466,1,0.2872,0.9433,0.5474,0.0269,0.947,0.942,0.941,0.566863,4Z18_binder_6,SolubleMPNN
,cand00066,,0,0.6280,0.6140,0.3623,0.8938,0.037,0.928,0.877,0.878096,4ZQK_binder_3,ProteinMPNN
,cand02170,,0,0.4536,0.2307,0.4358,0.4714,0.093,0.024,0.575,0.521975,4Z18_binder_7,ProteinMPNN
,cand02115,,0,0.7395,0.5793,0.8577,0.6214,0.819,0.725,0.194,0.529341,4Z18_binder_13,SolubleMPNN
,cand02321,,0,0.6706,0.5873,0.8365,0.5047,0.877,0.853,0.032,0.095525,4Z18_binder_14,ProteinMPNN
,cand02248,,0,0.7750,0.4727,0.8145,0.7354,0.68,0.707,0.031,0.098412,4Z18_binder_14,ProteinMPNN
