seqid,mean_plddt,ptm,length
cand02295,95.03,0.74,65
cand01788,95.01,0.74,84
cand01854,95.01,0.78,65
cand02069,95.0,0.77,65
cand01615,94.99,0.76,76
cand02335,94.98,0.75,68
cand02345,94.98,0.75,68
cand01957,94.98,0.74,85
cand00573,94.97,0.82,80
cand00109,94.97,0.81,81
cand00087,94.97,0.77,66
cand01687,94.97,0.75,76
cand02260,94.96,0.74,66
cand00494,94.96,0.83,85
cand01192,94.96,0.75,85
cand02133,94.95,0.74,72
cand02402,94.95,0.76,68
cand00765,94.95,0.74,76
cand01533,94.95,0.76,79
cand00270,94.94,0.79,82
cand01260,94.94,0.77,75
cand02406,94.93,0.75,75
cand00051,94.93,0.79,82
cand00618,94.93,0.57,74
cand01308,94.91,0.79,79
cand01058,94.91,0.75,76
cand00861,94.9,0.76,74
cand00973,94.9,0.73,76
cand00570,94.88,0.78,73
cand01531,94.88,0.73,79
cand02039,94.87,0.74,72
cand01810,94.86,0.78,65
cand00736,94.85,0.76,84
cand02304,94.85,0.74,74
cand00939,94.85,0.71,67
cand01829,94.83,0.78,65
cand02220,94.83,0.75,81
cand00692,94.83,0.82,80
cand01484,94.83,0.73,79
cand02427,94.82,0.55,80
cand00793,94.82,0.77,67
cand00789,94.82,0.76,84
cand01246,94.82,0.75,74
cand01919,94.81,0.75,72
cand01294,94.79,0.74,74
cand02216,94.78,0.73,65
cand02315,94.78,0.73,65
cand02272,94.77,0.74,74
cand01506,94.77,0.73,76
cand00383,94.77,0.78,82
cand01821,94.75,0.75,81
cand02012,94.74,0.72,65
cand01326,94.74,0.74,74
cand00688,94.74,0.77,73
cand00562,94.73,0.8,82
cand01763,94.73,0.77,65
cand00619,94.72,0.77,73
cand01107,94.71,0.72,74
cand00900,94.71,0.73,72
cand02373,94.7,0.73,68
cand00623,94.7,0.73,68
cand00633,94.7,0.77,73
cand02026,94.69,0.78,65
cand00591,94.69,0.73,76
cand00963,94.69,0.74,74
cand02376,94.69,0.76,68
cand01846,94.69,0.75,76
cand01234,94.68,0.75,74
cand01209,94.68,0.75,74
cand00022,94.67,0.76,66
cand01546,94.67,0.77,81
cand01532,94.66,0.74,75
cand00092,94.65,0.8,83
cand00356,94.64,0.78,74
cand02264,94.64,0.75,67
cand01038,94.64,0.73,79
cand00466,94.64,0.8,82
cand00646,94.63,0.75,84
cand01078,94.63,0.71,79
cand00167,94.62,0.79,74
cand02371,94.62,0.76,75
cand00946,94.61,0.72,76
cand01623,94.61,0.77,65
cand01088,94.6,0.77,67
cand01584,94.6,0.73,79
cand02168,94.6,0.73,74
cand01707,94.59,0.76,75
cand02076,94.59,0.73,72
cand00707,94.59,0.8,80
cand01712,94.58,0.75,81
cand00275,94.58,0.8,83
cand00672,94.57,0.79,84
cand00903,94.57,0.75,74
cand02186,94.57,0.72,74
cand02378,94.56,0.77,68
cand00610,94.56,0.79,72
cand02152,94.55,0.73,68
cand00344,94.55,0.8,72
cand00877,94.54,0.72,76
cand01479,94.54,0.79,65
cand01697,94.54,0.74,76
cand02052,94.54,0.67,72
cand02020,94.53,0.77,65
cand01848,94.53,0.78,81
cand00334,94.52,0.72,76
cand00332,94.52,0.8,83
cand00403,94.52,0.72,76
cand02362,94.52,0.73,65
cand02464,94.52,0.76,71
cand00699,94.52,0.73,74
cand01499,94.51,0.72,79
cand00738,94.5,0.78,72
cand02233,94.5,0.72,65
cand01704,94.5,0.74,76
cand01191,94.49,0.74,74
cand02164,94.49,0.74,67
cand01454,94.48,0.71,79
cand02412,94.48,0.72,66
cand00769,94.48,0.77,73
cand00467,94.48,0.79,72
cand01121,94.48,0.72,84
cand01723,94.47,0.73,79
cand00354,94.46,0.77,73
cand02231,94.46,0.76,81
cand01617,94.45,0.74,85
cand01482,94.45,0.73,85
cand02275,94.44,0.74,75
cand01145,94.44,0.73,85
cand02061,94.43,0.73,85
cand02092,94.43,0.67,72
cand01147,94.42,0.73,74
cand02379,94.41,0.71,66
cand01649,94.4,0.74,76
cand02382,94.4,0.71,68
cand01860,94.4,0.76,81
cand01141,94.4,0.7,79
cand02018,94.39,0.77,65
cand00262,94.39,0.79,82
cand00695,94.39,0.76,84
cand01721,94.38,0.73,85
cand01361,94.37,0.71,79
cand00021,94.37,0.8,83
cand00009,94.37,0.79,83
cand00890,94.36,0.75,74
cand00753,94.35,0.72,68
cand00190,94.35,0.77,72
cand01857,94.35,0.76,81
cand00402,94.34,0.71,76
cand01571,94.34,0.74,76
cand01367,94.33,0.71,79
cand01591,94.33,0.75,76
cand00519,94.33,0.78,73
cand02326,94.32,0.74,68
cand02167,94.32,0.72,85
cand00155,94.31,0.83,81
cand01109,94.3,0.71,74
cand00525,94.3,0.5,84
cand01768,94.3,0.73,76
cand01895,94.3,0.73,68
cand01898,94.3,0.77,65
cand00299,94.3,0.74,76
cand00588,94.29,0.8,80
cand00024,94.29,0.78,66
cand01667,94.29,0.75,76
cand01781,94.28,0.76,81
cand00915,94.28,0.72,76
cand01836,94.26,0.74,76
cand01118,94.26,0.77,81
cand00639,94.26,0.75,74
cand01104,94.25,0.76,81
cand01212,94.25,0.83,85
cand00608,94.24,0.76,73
cand00589,94.23,0.52,74
cand01748,94.23,0.74,75
cand00445,94.23,0.78,74
cand01273,94.22,0.72,79
cand02180,94.22,0.74,85
cand00011,94.21,0.8,81
cand01236,94.21,0.71,85
cand00708,94.2,0.8,80
cand00899,94.2,0.82,85
cand01288,94.19,0.75,81
cand00340,94.19,0.75,73
cand01103,94.18,0.74,72
cand02025,94.17,0.74,85
cand01696,94.17,0.66,72
cand02313,94.16,0.73,74
cand00056,94.16,0.73,76
cand01470,94.14,0.74,81
cand01384,94.13,0.77,65
cand00199,94.13,0.8,80
cand00417,94.13,0.8,83
cand00773,94.13,0.82,85
cand01210,94.12,0.83,85
cand01347,94.12,0.71,76
cand02088,94.12,0.73,76
cand00832,94.11,0.7,74
cand02346,94.1,0.71,68
cand01830,94.1,0.77,81
cand00477,94.1,0.79,74
cand01855,94.1,0.77,81
cand02129,94.09,0.75,81
cand00160,94.08,0.78,82
cand01061,94.08,0.76,67
cand01149,94.08,0.77,67
cand01988,94.07,0.74,76
cand00870,94.06,0.76,73
cand00157,94.05,0.81,78
cand01684,94.05,0.76,81
cand02014,94.04,0.76,65
cand00169,94.04,0.77,66
cand00620,94.04,0.71,76
cand02100,94.03,0.75,80
cand02249,94.02,0.74,67
cand01778,94.02,0.77,67
cand01912,94.02,0.75,75
cand01717,94.01,0.73,85
cand00978,93.97,0.72,76
cand01837,93.96,0.75,76
cand02125,93.96,0.72,85
cand01795,93.96,0.75,81
cand02214,93.95,0.73,67
cand02360,93.95,0.71,65
cand01641,93.92,0.68,79
cand01391,93.91,0.7,79
cand01423,93.91,0.7,79
cand01359,93.91,0.73,74
cand00487,93.9,0.76,84
cand00706,93.9,0.78,72
cand01131,93.9,0.75,81
cand01113,93.89,0.78,67
cand01006,93.89,0.72,72
cand01842,93.89,0.75,65
cand00290,93.89,0.76,66
cand02399,93.88,0.7,66
cand00387,93.88,0.78,72
cand01135,93.86,0.7,79
cand02194,93.85,0.71,74
cand01476,93.84,0.76,75
cand00928,93.84,0.8,80
cand01547,93.84,0.73,85
cand01283,93.83,0.71,79
cand02245,93.83,0.75,65
cand01376,93.82,0.73,74
cand02250,93.82,0.72,67
cand00478,93.82,0.79,80
cand01244,93.82,0.71,85
cand01151,93.82,0.73,74
cand02004,93.81,0.72,72
cand00593,93.81,0.79,72
cand01300,93.81,0.78,65
cand01331,93.81,0.73,74
cand02093,93.81,0.72,85
cand01422,93.79,0.69,79
cand01046,93.79,0.7,74
cand01322,93.76,0.73,81
cand00373,93.76,0.79,83
cand00229,93.75,0.79,83
cand02040,93.75,0.7,85
cand00912,93.74,0.73,74
cand01371,93.71,0.7,72
cand00846,93.7,0.73,74
cand02296,93.7,0.72,68
cand00482,93.7,0.8,80
cand01915,93.7,0.74,67
cand00709,93.7,0.71,85
cand02255,93.69,0.71,74
cand01424,93.69,0.69,79
cand00979,93.68,0.75,73
cand01016,93.68,0.7,79
cand01413,93.67,0.71,74
cand00136,93.66,0.81,81
cand00151,93.66,0.76,66
cand02395,93.66,0.74,68
cand01530,93.66,0.75,65
cand01626,93.66,0.69,79
cand01984,93.65,0.73,85
cand02401,93.65,0.73,65
cand02284,93.64,0.74,68
cand01843,93.64,0.77,65
cand02207,93.63,0.77,81
cand00079,93.63,0.8,81
cand02386,93.62,0.73,68
cand02336,93.61,0.73,68
cand02297,93.61,0.71,74
cand01782,93.61,0.72,76
cand02347,93.6,0.73,68
cand00148,93.6,0.76,66
cand01643,93.6,0.75,65
cand01889,93.6,0.74,76
cand01307,93.58,0.77,81
cand00522,93.58,0.77,82
cand01719,93.58,0.74,81
cand01047,93.58,0.68,79
cand00803,93.57,0.73,73
cand00526,93.55,0.77,74
cand00431,93.54,0.78,72
cand00734,93.53,0.8,82
cand01223,93.53,0.73,72
cand02155,93.52,0.7,74
cand00772,93.52,0.79,80
cand00680,93.52,0.73,74
cand02111,93.52,0.72,68
cand00316,93.52,0.78,81
cand00676,93.51,0.77,84
cand00464,93.51,0.79,80
cand02358,93.5,0.7,65
cand02470,93.5,0.74,71
cand01051,93.5,0.69,79
cand01256,93.5,0.54,67
cand02199,93.49,0.72,68
cand02344,93.48,0.71,65
cand00421,93.48,0.77,72
cand02286,93.48,0.75,80
cand00806,93.48,0.78,80
cand00016,93.47,0.78,84
cand02082,93.47,0.75,76
cand00077,93.46,0.76,82
cand01217,93.46,0.51,67
cand02042,93.46,0.72,76
cand01516,93.46,0.7,79
cand00365,93.46,0.78,83
cand00945,93.45,0.76,73
cand01787,93.45,0.73,76
cand00984,93.44,0.69,79
cand00306,93.44,0.74,84
cand00575,93.43,0.51,84
cand01599,93.43,0.68,79
cand01200,93.43,0.69,79
cand00217,93.43,0.75,66
cand02077,93.43,0.71,72
cand00812,93.42,0.75,84
cand00842,93.41,0.69,76
cand00670,93.41,0.74,73
cand02407,93.41,0.72,75
cand00543,93.41,0.73,73
cand01338,93.41,0.73,74
cand00150,93.39,0.78,84
cand00338,93.38,0.71,74
cand00933,93.38,0.79,80
cand01297,93.37,0.75,75
cand01272,93.37,0.68,79
cand00393,93.37,0.78,82
cand01067,93.35,0.67,79
