cand,ipsae_min,sc_dockq,bsa,ddg,dSASA,cms,nres,irms,Lrms,fnat,ncontact,consensus_pass
cand00286,0.6987,0.863,755.0,-39.12,1387.9,282.4,57,0.738,2.399,0.857,73,0
cand02109,0.6984,0.795,888.6,-46.02,1635.1,381.1,70,0.917,2.084,0.714,89,1
cand02468,0.6984,0.916,994.5,-43.79,1862.9,395.8,65,0.751,1.963,1.0,88,1
cand02218,0.6976,0.654,954.7,-54.56,1832.0,449.0,69,1.716,4.056,0.714,96,1
cand01526,0.6972,0.745,832.2,-47.51,1627.0,386.3,67,0.821,3.353,0.6,75,1
cand01709,0.6964,0.879,893.4,-44.18,1713.9,364.6,65,1.025,1.82,1.0,83,1
cand00676,0.6961,0.571,851.3,-29.45,1593.2,334.1,63,1.908,3.827,0.5,66,0
cand02070,0.6951,0.787,1046.9,-56.22,1967.4,399.7,74,1.179,3.052,0.857,87,1
cand02248,0.6949,0.72,956.9,-40.97,1800.4,417.3,69,1.267,2.996,0.688,91,1
cand01943,0.6948,0.847,922.4,-43.52,1746.3,411.1,67,1.206,2.252,1.0,85,1
cand02184,0.6944,0.031,928.5,-42.65,1733.0,358.6,63,8.334,33.525,0.0,76,0
cand02050,0.6937,0.716,896.4,-42.54,1697.6,391.1,61,1.688,3.573,0.857,84,1
cand00313,0.6929,0.393,666.6,-29.78,1253.6,315.3,50,2.922,7.82,0.429,64,0
cand00248,0.6928,0.64,822.2,-41.01,1573.4,324.9,63,1.398,3.078,0.5,69,0
cand00414,0.6911,0.664,917.3,-42.11,1727.0,364.0,63,1.572,3.594,0.667,87,1
cand00413,0.6909,0.833,886.8,-31.38,1611.0,308.2,62,1.249,2.684,1.0,83,0
cand00001,0.6906,0.435,741.7,-37.76,1361.2,321.3,63,2.007,6.072,0.286,67,0
cand00309,0.6904,0.662,763.3,-30.63,1413.5,281.3,58,1.617,4.294,0.727,76,0
cand01469,0.6903,0.861,913.4,-42.51,1761.9,409.2,70,0.727,2.584,0.857,86,1
cand01993,0.6894,0.027,1062.5,-53.67,2016.3,445.9,74,9.254,35.15,0.0,96,0
cand02324,0.6894,0.672,990.3,-43.08,1865.9,417.7,71,1.367,3.661,0.625,89,1
cand01693,0.6891,0.88,1012.1,-51.51,1919.1,442.1,77,0.949,2.378,1.0,101,1
cand01729,0.6891,0.85,894.7,-46.76,1608.4,400.5,69,1.127,2.673,1.0,79,1
cand00502,0.6886,0.012,793.9,-29.05,1515.1,290.1,49,19.24,48.843,0.0,62,0
cand01391,0.6875,0.702,877.3,-42.03,1624.8,322.1,66,1.238,5.129,0.778,81,0
cand01735,0.6870,0.779,896.1,-47.86,1729.5,370.3,64,1.144,2.78,0.8,82,1
cand02172,0.6869,0.324,964.0,-45.61,1819.0,388.7,64,3.047,6.809,0.167,82,1
cand01174,0.6867,0.019,846.8,-41.55,1591.0,314.2,61,10.77,43.679,0.0,79,0
cand01724,0.6865,0.675,999.8,-59.39,1896.9,466.9,79,1.814,4.749,0.857,95,1
cand01802,0.6848,0.807,996.8,-49.53,1900.0,393.8,79,0.887,1.618,0.714,87,1
cand02354,0.6833,,682.2,-40.59,1300.8,323.5,55,,,,66,0
cand02374,0.6832,,819.9,-41.32,1520.5,360.3,56,,,,61,0
cand02463,0.6828,0.877,1041.2,-42.04,1968.8,398.3,61,0.982,2.337,1.0,89,1
cand01984,0.6812,0.031,1073.4,-52.90,2007.9,497.9,74,8.296,33.544,0.0,87,0
cand02202,0.6810,,960.8,-47.22,1796.5,399.7,78,,,,89,0
cand01697,0.6798,0.85,998.4,-56.27,1845.4,410.0,76,1.073,2.995,1.0,97,1
cand01712,0.6782,,865.3,-40.45,1593.3,329.2,66,,,,81,0
cand02159,0.6781,0.675,940.8,-54.89,1798.0,440.0,72,1.612,3.637,0.714,99,1
cand01733,0.6780,0.881,1050.0,-48.52,1977.7,450.5,71,0.884,2.831,1.0,89,1
cand01558,0.6773,0.734,943.1,-43.84,1762.0,396.9,77,1.316,2.464,0.714,86,1
cand02190,0.6773,,704.6,-38.27,1322.0,305.3,52,,,,61,0
cand02039,0.6771,0.818,948.7,-45.42,1816.4,405.1,69,1.1,2.032,0.857,87,1
cand02249,0.6771,0.349,784.8,-33.04,1457.4,287.3,63,2.433,6.546,0.143,77,0
cand02076,0.6770,0.689,860.3,-34.66,1604.6,342.9,66,1.325,4.351,0.714,86,0
cand00557,0.6769,0.849,981.9,-52.84,1887.9,449.9,79,1.049,2.107,0.933,108,1
cand02272,0.6765,0.724,1034.1,-45.34,1913.9,369.8,75,1.38,3.144,0.75,95,1
cand01335,0.6764,0.625,989.6,-36.73,1848.0,346.2,63,1.613,3.694,0.571,89,0
cand02243,0.6756,0.379,804.0,-47.99,1551.7,374.6,71,2.574,6.971,0.286,87,1
cand02304,0.6756,0.703,961.0,-44.10,1838.9,396.1,70,1.386,3.109,0.688,91,1
cand02179,0.6749,0.426,789.8,-43.53,1542.5,357.2,64,2.505,7.151,0.429,76,0
cand02148,0.6747,0.639,841.1,-38.51,1591.8,350.5,67,1.541,3.327,0.562,80,0
cand02222,0.6746,0.387,865.8,-46.89,1662.0,339.7,64,2.489,6.81,0.286,77,0
cand00054,0.6739,0.216,766.5,-31.43,1396.5,288.1,60,3.712,8.366,0.0,78,0
cand01346,0.6737,0.173,805.7,-33.95,1505.9,283.1,67,5.458,11.622,0.1,72,0
cand02207,0.6725,,793.7,-35.69,1483.8,325.6,62,,,,76,0
cand01324,0.6721,0.229,893.8,-39.80,1667.2,334.7,60,4.41,13.555,0.3,77,0
cand02437,0.6719,0.781,1008.6,-54.69,1872.2,507.1,78,0.905,3.437,0.75,95,1
cand00331,0.6714,0.768,834.8,-46.22,1591.7,348.6,59,1.078,4.402,0.857,72,0
cand01222,0.6711,0.638,1012.3,-58.66,1924.2,482.7,77,1.649,4.933,0.714,96,1
cand01686,0.6703,,919.3,-40.67,1755.5,361.2,64,,,,84,0
cand01857,0.6695,,923.8,-43.98,1758.7,366.9,71,,,,87,0
cand02149,0.6688,,868.1,-43.71,1629.8,338.8,62,,,,79,0
cand02345,0.6681,,624.2,-39.51,1118.7,307.7,53,,,,59,0
cand02298,0.6680,0.847,1073.2,-50.76,1993.1,442.2,76,0.882,2.115,0.857,92,1
cand01616,0.6674,,801.7,-42.24,1470.0,329.4,58,,,,74,0
cand00943,0.6666,0.605,959.4,-45.06,1774.5,379.9,72,1.614,3.542,0.5,87,1
cand02387,0.6658,0.832,1015.1,-50.26,1912.1,408.6,80,0.903,2.767,0.857,93,1
cand01867,0.6650,,934.4,-43.30,1770.0,358.9,69,,,,88,0
cand00807,0.6646,0.137,947.5,-39.58,1767.0,377.3,66,5.449,11.852,0.0,86,0
cand01293,0.6643,0.845,1028.4,-50.26,1920.9,402.5,81,0.757,2.186,0.8,100,1
cand01503,0.6639,0.809,1000.5,-46.84,1864.6,397.4,79,1.07,3.347,0.9,94,1
cand00870,0.6639,0.6,913.6,-39.24,1716.5,359.9,70,1.672,3.509,0.5,77,0
cand02401,0.6631,0.901,1096.4,-53.19,2043.1,472.6,79,0.802,2.4,1.0,111,1
cand02372,0.6629,,676.2,-30.11,1269.1,259.0,50,,,,58,0
cand02412,0.6623,0.826,1011.0,-57.92,1912.3,415.2,73,0.796,2.015,0.75,93,1
cand01786,0.6599,0.821,940.7,-46.47,1766.7,429.2,68,1.279,3.069,1.0,87,1
cand02155,0.6596,0.305,827.6,-40.60,1531.1,346.6,59,3.281,11.191,0.375,85,0
cand01961,0.6586,0.778,774.0,-46.89,1487.6,351.8,68,0.683,2.74,0.6,81,0
cand00163,0.6581,0.274,451.7,-7.36,833.5,123.0,36,4.384,9.479,0.273,39,0
cand01850,0.6572,,912.8,-44.60,1754.8,361.8,60,,,,76,0
cand02329,0.6569,0.926,1081.8,-47.57,2075.5,446.9,79,0.718,1.625,1.0,102,1
cand00924,0.6563,0.431,681.3,-32.12,1231.7,281.7,49,2.689,6.558,0.429,62,0
cand02054,0.6559,0.788,992.8,-41.19,1900.8,386.5,73,0.98,1.959,0.714,87,1
cand00436,0.6558,0.297,867.2,-44.70,1608.0,366.0,63,2.448,6.666,0.0,73,1
cand01070,0.6554,0.025,685.2,-27.29,1260.5,246.0,57,9.139,37.403,0.0,66,0
cand00014,0.6549,0.42,892.1,-26.47,1651.1,300.8,67,2.604,5.243,0.286,81,0
cand02088,0.6543,0.487,893.9,-38.37,1687.1,352.1,66,2.492,6.598,0.571,82,0
cand02259,0.6534,0.546,834.8,-40.15,1575.1,335.0,69,2.287,6.609,0.714,80,0
cand02122,0.6533,0.01,152.2,-8.56,276.1,46.1,15,16.101,58.085,0.0,8,0
cand01632,0.6530,0.765,1109.0,-50.60,2111.4,477.3,79,1.076,2.472,0.714,94,1
cand01840,0.6529,0.801,935.0,-37.49,1776.4,332.3,72,1.131,2.683,0.857,78,0
cand00944,0.6522,0.839,997.2,-40.31,1874.0,387.9,74,1.023,1.766,0.875,93,1
cand01871,0.6520,0.787,891.9,-47.81,1688.5,396.1,65,0.962,2.151,0.714,87,1
cand00634,0.6515,0.018,108.3,-4.54,203.3,25.6,13,17.998,38.229,0.0,4,0
cand01795,0.6504,,851.9,-37.84,1605.3,327.4,59,,,,74,0
cand00554,0.6503,0.675,910.0,-40.85,1680.8,348.3,57,1.457,3.672,0.667,81,0
cand02187,0.6502,,803.3,-40.86,1535.5,329.8,64,,,,76,0
cand01209,0.6498,0.027,691.5,-32.76,1279.4,260.4,57,13.907,31.191,0.0,63,0
cand02297,0.6495,0.72,901.8,-39.23,1769.2,373.2,70,1.295,2.861,0.688,85,0
cand00763,0.6477,0.745,623.3,-33.24,1175.8,246.7,48,1.115,5.114,0.857,57,0
cand02255,0.6476,0.811,985.6,-41.13,1810.2,364.7,72,1.117,2.597,0.875,89,1
cand02042,0.6469,0.859,1083.2,-60.64,2058.9,536.6,84,0.911,3.625,1.0,104,1
cand01950,0.6460,0.505,919.1,-43.87,1707.1,379.1,64,2.291,6.325,0.571,80,1
cand02150,0.6450,0.036,989.1,-42.64,1856.1,403.3,66,8.516,29.206,0.0,99,0
cand01170,0.6443,0.844,793.6,-48.08,1515.5,350.3,71,0.696,2.677,0.8,81,0
cand00694,0.6439,0.851,758.0,-42.22,1338.2,301.7,59,0.802,2.556,0.857,62,0
cand02306,0.6436,0.337,893.3,-36.91,1656.2,376.5,61,3.142,9.404,0.375,92,0
cand02363,0.6430,0.097,769.4,-36.83,1406.3,316.6,57,6.236,15.34,0.0,75,0
cand01117,0.6421,0.032,933.4,-50.27,1727.4,413.8,63,11.978,28.456,0.0,77,0
cand02241,0.6417,0.645,1045.4,-57.50,2001.8,466.6,77,1.44,4.393,0.625,100,1
cand02116,0.6417,0.633,918.2,-43.73,1718.5,396.6,70,1.804,4.557,0.714,84,1
cand02406,0.6407,0.78,962.6,-49.06,1876.8,435.4,76,1.001,2.237,0.714,88,1
cand02417,0.6405,0.109,733.5,-34.78,1358.4,301.4,57,9.768,23.26,0.188,65,0
cand01403,0.6401,0.855,919.0,-46.98,1748.2,389.4,64,1.145,2.301,1.0,82,1
cand00238,0.6385,0.641,861.8,-42.45,1636.0,390.2,61,1.566,4.554,0.667,82,1
cand02452,0.6383,0.095,750.5,-31.37,1388.0,270.2,54,9.025,21.808,0.125,61,0
cand02197,0.6373,0.032,827.9,-36.01,1558.7,320.7,64,7.952,32.886,0.0,74,0
cand01979,0.6369,0.727,831.9,-47.67,1572.9,366.7,72,0.944,3.364,0.6,80,1
cand00984,0.6357,0.71,916.2,-42.24,1684.1,326.9,64,1.274,4.611,0.778,81,0
cand01949,0.6347,0.814,854.0,-42.38,1626.7,402.2,69,1.365,2.905,1.0,86,1
cand02112,0.6320,0.903,919.0,-59.20,1784.6,449.5,80,0.801,2.315,1.0,93,1
cand02364,0.6310,0.11,750.1,-22.76,1374.3,251.3,52,9.686,23.023,0.188,65,0
cand02103,0.6308,0.728,916.8,-45.65,1726.9,379.5,69,1.692,3.017,0.857,95,1
cand02152,0.6284,,576.1,-29.53,1079.8,259.0,51,,,,51,0
cand02079,0.6279,0.301,805.4,-26.46,1492.8,260.9,62,3.953,8.633,0.286,75,0
cand01001,0.6259,,653.3,-28.06,1203.8,237.5,52,,,,61,0
cand01836,0.6253,0.875,948.2,-48.30,1754.1,386.0,70,0.988,2.356,1.0,81,1
cand01361,0.6249,0.029,462.0,-14.43,843.0,134.3,37,8.515,34.252,0.0,38,0
cand02438,0.6240,0.118,780.5,-34.85,1481.9,332.8,54,8.854,21.235,0.188,66,0
cand01484,0.6240,0.049,711.3,-27.09,1301.0,261.7,58,7.634,24.166,0.0,68,0
cand00882,0.6237,0.065,756.6,-34.56,1401.7,323.8,70,6.369,20.927,0.0,76,0
cand02160,0.6228,,868.9,-45.29,1619.0,342.1,70,,,,82,0
cand01415,0.6210,0.021,610.6,-23.62,1098.7,210.0,49,13.758,36.987,0.0,55,0
cand01948,0.6183,0.871,945.3,-39.49,1804.2,367.9,80,0.764,1.699,0.857,89,0
cand02279,0.6181,0.096,854.8,-41.64,1613.5,347.8,56,8.908,21.532,0.125,67,0
cand02373,0.6160,,678.6,-30.08,1232.2,285.0,55,,,,72,0
cand00045,0.6156,0.014,141.1,-3.88,244.2,35.0,8,20.733,43.308,0.0,7,0
cand01064,0.6153,0.844,941.8,-41.68,1784.5,379.7,63,1.007,1.54,0.875,78,1
cand01719,0.6149,,965.7,-43.26,1860.3,408.3,72,,,,88,0
cand00044,0.6144,0.153,749.1,-37.57,1411.7,321.3,60,7.877,16.886,0.222,75,0
cand00151,0.6144,0.031,66.1,-0.84,98.5,12.4,3,12.058,29.19,0.0,3,0
cand02261,0.6100,0.238,707.7,-48.22,1332.5,342.7,65,3.42,10.198,0.143,72,0
cand01725,0.6091,0.353,997.8,-46.53,1920.4,382.2,70,3.011,7.522,0.3,95,1
cand00338,0.6075,0.037,624.6,-26.66,1143.9,199.5,45,10.905,26.813,0.0,43,0
cand02036,0.6049,0.589,883.9,-41.84,1702.2,411.6,68,1.541,3.527,0.429,90,1
cand01495,0.6025,,918.2,-35.94,1777.1,378.2,66,,,,81,0
cand01609,0.6023,0.028,764.3,-35.92,1395.1,288.8,52,11.796,31.266,0.0,65,0
cand01148,0.6003,0.878,1025.3,-49.45,1940.1,428.0,74,0.751,1.28,0.857,90,1
cand02423,0.5998,0.132,830.5,-39.70,1535.0,343.9,51,7.419,18.921,0.188,73,0
cand00496,0.5982,0.688,974.7,-45.12,1832.1,404.6,66,1.192,1.903,0.5,86,0
cand00548,0.5976,0.3,812.1,-38.28,1450.0,289.9,62,3.173,7.673,0.167,69,0
cand02028,0.5953,0.65,889.7,-43.40,1713.6,392.9,70,1.818,3.843,0.714,94,0
cand00708,0.5943,0.548,778.0,-38.96,1441.9,316.1,68,1.939,6.883,0.667,75,0
cand01375,0.5941,0.818,1075.8,-55.03,2014.3,471.2,74,0.842,1.236,0.714,104,0
cand02264,0.5934,0.317,777.2,-39.79,1490.8,328.0,65,2.628,7.497,0.143,73,0
cand02458,0.5915,0.109,694.5,-26.51,1322.4,319.7,46,8.055,18.849,0.125,62,0
cand01493,0.5909,0.793,936.0,-48.58,1765.2,412.0,71,1.053,1.764,0.75,87,0
cand00734,0.5908,0.043,410.8,-18.47,793.0,155.6,41,13.587,23.196,0.0,39,0
cand02077,0.5879,0.034,319.3,-15.92,577.2,138.3,33,11.376,27.749,0.0,28,0
cand01428,0.5858,0.641,696.1,-43.68,1347.2,327.4,62,0.967,2.57,0.3,74,0
cand02024,0.5844,0.841,979.4,-44.73,1841.7,402.5,78,1.053,3.547,1.0,87,0
