cand,method,mean_plddt,ptm
cand02089,SolubleMPNN,95.66,0.76
cand00127,ProteinMPNN,95.65,0.83
cand00929,SolubleMPNN,95.65,0.78
cand01020,ProteinMPNN,95.64,0.76
cand00686,ProteinMPNN,95.64,0.73
cand00154,SolubleMPNN,95.62,0.76
cand02383,ProteinMPNN,95.62,0.77
cand00503,SolubleMPNN,95.62,0.82
cand01627,ProteinMPNN,95.62,0.77
cand00266,SolubleMPNN,95.61,0.75
cand00312,SolubleMPNN,95.61,0.76
cand01727,ProteinMPNN,95.6,0.76
cand00576,SolubleMPNN,95.59,0.8
cand00661,SolubleMPNN,95.58,0.81
cand02083,SolubleMPNN,95.57,0.76
cand02314,SolubleMPNN,95.56,0.58
cand02308,ProteinMPNN,95.56,0.74
cand00923,ProteinMPNN,95.56,0.79
cand01611,SolubleMPNN,95.56,0.74
cand02158,SolubleMPNN,95.55,0.75
cand02212,ProteinMPNN,95.55,0.76
cand00986,ProteinMPNN,95.55,0.77
cand02290,ProteinMPNN,95.55,0.76
cand00391,SolubleMPNN,95.53,0.8
cand02274,SolubleMPNN,95.52,0.75
cand00768,ProteinMPNN,95.52,0.76
cand01022,SolubleMPNN,95.52,0.75
cand00648,ProteinMPNN,95.51,0.76
cand00415,ProteinMPNN,95.51,0.8
cand02183,SolubleMPNN,95.51,0.76
cand00465,ProteinMPNN,95.5,0.79
cand01435,SolubleMPNN,95.48,0.76
cand01844,SolubleMPNN,95.48,0.77
cand02404,SolubleMPNN,95.46,0.78
cand00042,ProteinMPNN,95.46,0.79
cand00785,SolubleMPNN,95.46,0.79
cand01705,SolubleMPNN,95.46,0.75
cand01049,SolubleMPNN,95.46,0.55
cand01416,ProteinMPNN,95.45,0.77
cand02106,SolubleMPNN,95.44,0.75
cand02330,SolubleMPNN,95.43,0.76
cand02388,ProteinMPNN,95.43,0.74
cand00667,ProteinMPNN,95.41,0.8
cand01401,SolubleMPNN,95.41,0.55
cand00449,ProteinMPNN,95.41,0.74
cand01856,SolubleMPNN,95.4,0.77
cand00881,SolubleMPNN,95.4,0.78
cand00300,ProteinMPNN,95.39,0.81
cand00728,SolubleMPNN,95.38,0.75
cand01960,ProteinMPNN,95.36,0.78
cand00060,SolubleMPNN,95.35,0.82
cand01759,SolubleMPNN,95.35,0.78
cand01884,ProteinMPNN,95.35,0.76
cand02103,SolubleMPNN,95.35,0.76
cand02056,SolubleMPNN,95.34,0.75
cand00031,SolubleMPNN,95.33,0.78
cand01443,SolubleMPNN,95.33,0.77
cand02150,SolubleMPNN,95.33,0.76
cand00941,ProteinMPNN,95.31,0.78
cand01692,SolubleMPNN,95.31,0.76
cand00694,ProteinMPNN,95.31,0.75
cand02424,ProteinMPNN,95.3,0.78
cand02235,SolubleMPNN,95.29,0.74
cand02038,SolubleMPNN,95.28,0.76
cand01686,SolubleMPNN,95.28,0.78
cand01620,SolubleMPNN,95.27,0.78
cand00004,SolubleMPNN,95.26,0.82
cand00141,SolubleMPNN,95.26,0.8
cand01437,SolubleMPNN,95.26,0.76
cand02428,ProteinMPNN,95.25,0.77
cand01964,SolubleMPNN,95.24,0.77
cand00329,ProteinMPNN,95.24,0.8
cand00337,SolubleMPNN,95.24,0.76
cand02008,SolubleMPNN,95.23,0.75
cand00014,ProteinMPNN,95.23,0.78
cand01076,SolubleMPNN,95.23,0.74
cand02086,SolubleMPNN,95.23,0.75
cand02116,SolubleMPNN,95.23,0.74
cand01921,ProteinMPNN,95.22,0.75
cand00878,ProteinMPNN,95.21,0.76
cand01471,SolubleMPNN,95.2,0.76
cand00125,SolubleMPNN,95.2,0.82
cand01575,ProteinMPNN,95.2,0.72
cand02081,SolubleMPNN,95.2,0.78
cand00743,SolubleMPNN,95.19,0.56
cand01360,SolubleMPNN,95.19,0.79
cand02287,SolubleMPNN,95.19,0.75
cand01136,SolubleMPNN,95.19,0.77
cand01370,SolubleMPNN,95.18,0.73
cand00166,SolubleMPNN,95.17,0.75
cand02283,SolubleMPNN,95.17,0.77
cand01579,SolubleMPNN,95.17,0.77
cand00790,ProteinMPNN,95.17,0.75
cand00836,ProteinMPNN,95.17,0.74
cand02151,SolubleMPNN,95.16,0.75
cand02327,SolubleMPNN,95.15,0.76
cand00843,ProteinMPNN,95.14,0.74
cand01664,ProteinMPNN,95.14,0.75
cand00002,SolubleMPNN,95.13,0.82
cand00427,SolubleMPNN,95.13,0.79
cand01399,ProteinMPNN,95.11,0.77
cand00791,SolubleMPNN,95.11,0.74
cand02166,SolubleMPNN,95.11,0.75
cand00325,SolubleMPNN,95.1,0.55
cand00972,ProteinMPNN,95.1,0.74
cand01604,ProteinMPNN,95.1,0.77
cand00033,ProteinMPNN,95.09,0.81
cand02289,SolubleMPNN,95.09,0.72
cand00778,SolubleMPNN,95.09,0.56
cand02047,ProteinMPNN,95.09,0.79
cand00246,SolubleMPNN,95.09,0.8
cand00824,ProteinMPNN,95.09,0.72
cand01784,SolubleMPNN,95.08,0.76
cand02060,ProteinMPNN,95.08,0.78
cand00995,ProteinMPNN,95.07,0.74
cand01777,SolubleMPNN,95.06,0.79
cand00691,ProteinMPNN,95.05,0.77
cand00309,ProteinMPNN,95.05,0.82
cand01662,SolubleMPNN,95.04,0.73
cand02295,SolubleMPNN,95.03,0.74
cand01788,ProteinMPNN,95.01,0.74
cand01854,SolubleMPNN,95.01,0.78
cand02069,ProteinMPNN,95.0,0.77
cand01615,SolubleMPNN,94.99,0.76
cand02335,SolubleMPNN,94.98,0.75
cand02345,ProteinMPNN,94.98,0.75
cand01957,SolubleMPNN,94.98,0.74
cand00573,SolubleMPNN,94.97,0.82
cand00109,ProteinMPNN,94.97,0.81
cand00087,ProteinMPNN,94.97,0.77
cand01687,ProteinMPNN,94.97,0.75
cand02260,SolubleMPNN,94.96,0.74
cand00494,ProteinMPNN,94.96,0.83
cand01192,ProteinMPNN,94.96,0.75
cand02133,SolubleMPNN,94.95,0.74
cand02402,SolubleMPNN,94.95,0.76
cand00765,ProteinMPNN,94.95,0.74
cand01533,ProteinMPNN,94.95,0.76
cand00270,ProteinMPNN,94.94,0.79
cand01260,SolubleMPNN,94.94,0.77
cand02406,ProteinMPNN,94.93,0.75
cand00051,ProteinMPNN,94.93,0.79
cand00618,SolubleMPNN,94.93,0.57
cand01308,SolubleMPNN,94.91,0.79
cand01058,SolubleMPNN,94.91,0.75
cand00861,SolubleMPNN,94.9,0.76
cand00973,ProteinMPNN,94.9,0.73
cand00570,SolubleMPNN,94.88,0.78
cand01531,SolubleMPNN,94.88,0.73
cand02039,SolubleMPNN,94.87,0.74
cand01810,ProteinMPNN,94.86,0.78
cand00736,SolubleMPNN,94.85,0.76
cand02304,SolubleMPNN,94.85,0.74
cand00939,SolubleMPNN,94.85,0.71
cand01829,SolubleMPNN,94.83,0.78
cand02220,ProteinMPNN,94.83,0.75
cand00692,SolubleMPNN,94.83,0.82
cand01484,SolubleMPNN,94.83,0.73
cand02427,SolubleMPNN,94.82,0.55
cand00793,SolubleMPNN,94.82,0.77
cand00789,SolubleMPNN,94.82,0.76
cand01246,ProteinMPNN,94.82,0.75
cand01919,SolubleMPNN,94.81,0.75
cand01294,SolubleMPNN,94.79,0.74
cand02216,SolubleMPNN,94.78,0.73
cand02315,SolubleMPNN,94.78,0.73
