cand,sc_dockq,irms,Lrms,fnat,bsa,n_int_res,n_contact
cand00286,0.878,0.649,2.251,0.857,643.1,34,45
cand00299,0.083,9.133,28.661,0.143,564.2,32,38
cand00301,0.282,3.979,11.359,0.364,653.3,37,42
cand00302,0.022,13.075,36.388,0.0,484.0,31,41
cand00303,0.168,4.353,10.464,0.0,815.9,42,48
cand00304,,,,,753.5,40,46
cand00309,0.773,1.241,2.738,0.818,762.7,42,55
cand00313,0.296,2.99,7.782,0.143,613.6,31,41
cand00316,0.395,2.673,5.947,0.273,421.1,22,26
cand00318,0.255,4.072,8.469,0.143,624.6,35,39
cand00321,0.717,1.193,5.809,0.857,598.2,33,42
cand00324,0.112,4.969,14.654,0.0,494.4,27,29
cand00326,,,,,700.2,40,49
cand00328,0.707,1.239,5.979,0.857,613.5,34,39
cand00331,0.776,1.021,4.405,0.857,671.5,33,41
cand00338,0.039,10.589,25.963,0.0,588.5,28,32
cand00355,0.532,2.574,7.786,0.8,762.6,44,52
cand00359,0.04,11.964,24.703,0.0,806.5,44,55
cand00369,0.029,13.408,30.078,0.0,548.7,38,51
cand00380,0.043,9.598,24.794,0.0,575.5,33,39
cand00386,0.467,2.483,6.477,0.5,712.5,39,50
cand00389,0.164,4.275,15.158,0.143,431.7,27,32
cand00401,0.808,0.848,4.115,0.857,670.7,34,46
cand00405,0.428,2.685,7.766,0.5,718.4,40,53
cand00412,0.493,2.18,3.94,0.333,640.9,39,54
cand00421,0.652,1.75,3.328,0.667,781.7,47,60
cand00422,0.156,5.95,12.714,0.1,709.3,37,40
cand00425,0.083,6.04,17.496,0.0,645.5,39,49
cand00436,0.333,2.232,5.709,0.0,692.9,37,42
cand00437,0.033,12.243,27.811,0.0,883.2,44,59
cand00440,0.242,3.354,7.543,0.0,716.0,36,44
cand00445,0.042,13.547,23.56,0.0,329.9,20,16
cand00452,0.216,3.031,9.381,0.0,563.9,29,34
cand00459,0.314,4.653,11.641,0.5,701.0,45,53
cand00467,0.209,7.374,14.592,0.333,743.6,41,54
cand00473,,,,,674.2,39,45
cand00477,0.107,5.346,14.832,0.0,424.8,25,24
cand00478,0.041,12.846,24.164,0.0,642.1,33,37
cand00484,0.174,4.247,10.15,0.0,835.4,44,55
cand00486,0.704,1.425,2.535,0.667,866.7,49,65
cand00502,0.245,7.034,17.401,0.5,1012.5,89,264
cand00503,0.15,5.053,11.099,0.0,727.3,41,47
cand00518,0.478,2.432,6.119,0.5,706.5,42,51
cand00536,0.205,4.53,10.582,0.125,570.5,30,29
cand00544,0.053,10.194,21.162,0.0,701.2,42,54
cand00549,0.753,1.076,4.999,0.857,597.9,34,42
cand00555,0.047,11.863,22.392,0.0,787.2,40,46
cand00560,0.25,6.347,13.113,0.4,832.4,53,70
cand00569,0.091,6.724,15.801,0.0,692.8,37,41
cand00571,,,,,712.1,40,52
cand00573,0.478,2.422,8.669,0.667,706.5,41,58
cand00574,0.077,8.099,17.17,0.0,695.7,38,45
cand00588,0.78,0.806,1.639,0.6,832.0,44,53
cand00589,0.04,10.354,25.477,0.0,695.4,38,49
cand00590,0.041,11.77,24.548,0.0,758.6,41,51
cand00593,0.044,13.681,23.111,0.0,883.1,44,60
cand00610,0.672,1.84,4.461,0.833,798.3,47,60
cand00618,0.039,9.64,26.385,0.0,657.7,43,50
cand00630,0.045,11.281,23.283,0.0,698.0,40,51
cand00634,0.172,7.387,10.969,0.1,1171.8,86,159
cand00635,0.051,11.962,21.374,0.0,811.0,45,55
cand00639,0.276,4.883,11.191,0.375,822.0,43,57
cand00649,0.52,2.333,4.696,0.5,690.6,41,47
cand00664,0.54,2.234,5.424,0.6,724.0,39,45
cand00665,,,,,546.5,30,40
cand00667,0.072,8.242,17.818,0.0,701.3,40,48
cand00670,0.04,12.23,24.938,0.0,744.8,43,52
cand00675,0.041,12.287,24.22,0.0,718.4,38,47
cand00681,0.043,8.727,25.481,0.0,527.1,34,36
cand00686,0.724,1.191,5.536,0.857,609.8,32,41
cand00692,0.098,8.503,14.242,0.0,1357.5,103,331
cand00694,0.85,0.731,3.074,0.857,603.9,33,42
cand00696,0.262,3.159,6.909,0.0,377.5,22,22
cand00699,0.454,2.283,7.52,0.5,768.7,40,49
cand00700,0.129,4.133,14.007,0.0,552.4,36,43
cand00706,0.577,1.909,3.582,0.5,644.4,40,46
cand00707,0.118,6.096,13.05,0.0,809.0,41,50
cand00708,0.484,2.322,8.645,0.667,729.2,42,54
cand00713,0.896,0.594,1.608,0.857,718.0,37,48
cand00714,0.033,10.227,29.374,0.0,398.7,27,26
cand00718,0.897,0.578,1.655,0.857,707.0,38,52
cand00719,0.046,12.959,22.654,0.0,715.6,44,56
cand00721,,,,,514.1,28,27
cand00725,0.827,0.998,1.887,0.833,850.2,50,61
cand00727,,,,,519.6,30,39
cand00738,0.057,10.07,20.395,0.0,704.3,41,56
cand00742,0.555,1.782,3.581,0.4,676.9,37,43
cand00744,0.127,11.558,17.1,0.167,949.6,57,102
cand00746,0.047,10.56,22.75,0.0,731.7,39,46
cand00747,0.168,4.68,10.196,0.0,771.5,40,46
cand00751,0.073,8.258,17.796,0.0,817.5,40,52
cand00754,0.639,1.326,4.445,0.571,598.5,34,40
cand00763,0.751,1.105,4.922,0.857,553.8,29,37
cand00765,0.735,1.167,5.227,0.857,548.1,31,39
cand00775,0.063,9.354,19.252,0.0,664.7,41,43
cand00777,0.16,4.528,10.843,0.0,534.0,31,36
cand00782,0.02,10.306,41.284,0.0,634.9,39,42
cand00784,0.255,3.432,13.931,0.333,644.6,38,51
cand00790,0.797,1.148,4.78,1.0,790.5,42,57
cand00795,0.178,5.876,13.898,0.2,716.5,36,41
cand00801,0.069,6.014,20.309,0.0,848.9,48,57
cand00804,0.074,7.14,18.132,0.0,629.5,28,31
cand00806,0.169,4.8,10.019,0.0,782.9,42,50
cand00807,0.139,5.49,11.673,0.0,857.0,45,56
cand00808,0.552,2.778,4.727,0.667,760.9,46,54
cand00820,0.107,5.656,14.512,0.0,471.4,33,51
cand00823,0.539,2.069,4.623,0.5,675.4,38,46
cand00824,0.316,3.653,8.178,0.286,606.1,32,37
cand00827,0.028,8.354,35.78,0.0,633.9,37,39
cand00832,0.474,3.273,8.551,0.75,686.6,39,49
cand00834,0.096,7.369,14.79,0.0,706.7,41,49
cand00837,0.054,9.821,21.159,0.0,648.4,36,42
cand00843,0.808,0.758,2.596,0.714,633.0,35,45
cand00844,,,,,589.8,33,40
cand00850,0.899,0.613,1.163,0.857,675.5,35,45
cand00851,0.179,4.085,10.053,0.0,544.9,32,27
cand00852,0.226,3.945,10.195,0.143,537.8,31,38
cand00854,,,,,788.4,49,77
cand00857,0.316,2.859,8.813,0.25,594.0,35,44
cand00860,0.072,5.898,19.866,0.0,793.1,44,49
cand00861,0.055,7.534,22.383,0.0,768.7,48,62
cand00865,0.677,1.474,4.139,0.714,554.5,29,36
cand00866,,,,,455.1,26,30
cand00870,0.655,1.361,2.572,0.5,843.0,43,55
cand00873,0.756,1.057,5.017,0.857,641.2,37,45
cand00878,0.521,1.57,6.139,0.429,735.6,40,44
cand00882,0.065,6.354,20.769,0.0,719.7,42,49
cand00886,0.623,1.974,3.748,0.667,628.7,42,50
cand00887,0.443,3.407,7.826,0.625,763.5,42,50
cand00889,0.118,5.736,13.309,0.0,787.7,51,74
cand00892,0.181,4.334,9.67,0.0,320.9,20,21
cand00893,0.071,5.865,20.205,0.0,776.2,43,49
cand00896,0.026,9.585,35.933,0.0,800.0,47,63
cand00900,0.793,0.931,4.241,0.857,916.5,49,69
cand00901,0.093,6.758,15.434,0.0,721.2,37,39
cand00903,0.073,7.448,18.145,0.0,635.4,31,38
cand00904,0.019,10.403,42.879,0.0,660.8,39,49
cand00906,0.329,3.955,8.722,0.375,814.6,43,47
cand00909,0.055,10.133,20.738,0.0,755.3,43,48
cand00913,0.296,3.281,8.225,0.2,740.1,40,47
cand00915,0.741,1.21,2.775,0.714,647.7,35,39
cand00917,0.033,11.091,28.424,0.0,570.8,34,42
cand00919,0.581,1.506,3.294,0.375,737.8,44,54
cand00921,0.247,3.901,8.7,0.125,798.5,48,58
cand00922,0.848,0.781,2.853,0.857,619.3,34,42
cand00923,0.499,2.556,5.021,0.5,822.0,44,55
cand00924,0.329,2.805,6.614,0.143,649.5,32,41
cand00927,0.171,5.422,12.491,0.125,608.9,36,38
cand00928,0.505,2.407,7.424,0.667,631.6,38,44
cand00929,0.515,1.211,2.177,0.0,731.0,39,44
cand00931,0.646,1.377,3.936,0.571,562.0,27,35
cand00933,0.317,2.301,6.196,0.0,658.5,41,49
cand00937,0.021,13.915,36.435,0.0,794.6,46,54
cand00940,0.634,2.189,4.913,0.833,698.5,45,57
cand00941,0.207,3.844,8.678,0.0,717.2,38,43
cand00942,0.038,11.441,25.831,0.0,667.7,36,45
cand00943,0.682,1.158,2.532,0.5,874.4,45,58
cand00944,0.784,0.837,1.642,0.625,820.4,44,56
cand00945,0.583,1.812,3.668,0.5,771.0,42,53
cand00953,0.057,10.603,20.218,0.0,733.7,43,52
cand00954,0.338,2.661,8.705,0.286,527.5,30,39
cand00956,,,,,577.6,34,35
cand00957,0.623,0.974,1.642,0.2,811.7,44,54
cand00959,0.034,10.887,28.293,0.0,632.9,41,50
cand00960,0.044,13.376,23.03,0.0,757.3,46,65
cand00961,0.559,1.704,5.981,0.571,681.9,40,47
cand00963,0.103,6.055,14.656,0.0,687.9,34,39
cand00972,0.685,1.177,3.343,0.571,564.0,30,36
cand00973,0.753,1.039,5.216,0.857,629.5,36,43
cand00974,,,,,670.5,45,70
cand00976,0.038,12.493,25.32,0.0,736.8,36,42
cand00979,0.747,1.881,3.549,1.0,800.2,44,52
cand00980,0.575,2.256,6.696,0.8,840.6,51,70
cand00981,0.048,14.234,21.776,0.0,777.3,44,57
cand00984,0.681,1.248,4.425,0.667,796.5,42,50
cand00986,0.429,2.128,5.99,0.286,554.9,30,36
cand00988,0.045,12.929,22.879,0.0,661.7,36,38
cand00994,0.104,6.552,14.213,0.0,775.8,46,59
cand01001,,,,,677.0,38,48
cand01008,0.021,13.574,36.318,0.0,651.8,34,37
cand01011,0.604,1.602,3.636,0.5,743.7,40,49
cand01013,0.363,3.198,8.36,0.4,854.9,42,50
cand01014,0.45,2.193,9.24,0.571,748.8,39,48
cand01016,0.02,11.153,40.167,0.0,754.3,45,50
cand01017,,,,,815.0,47,65
cand01028,0.1,5.684,15.28,0.0,817.2,47,54
cand01038,0.022,9.384,41.688,0.0,544.5,33,44
cand01042,0.047,7.102,25.836,0.0,787.4,45,59
cand01046,0.273,4.721,11.516,0.375,659.9,35,43
cand01049,0.292,5.806,17.629,0.625,759.1,44,59
cand01050,0.698,1.251,3.15,0.625,839.2,44,55
cand01051,0.017,12.029,43.46,0.0,455.5,26,30
cand01052,0.269,11.194,17.639,0.6,439.4,40,68
cand01053,0.032,8.454,32.112,0.0,648.2,37,41
cand01058,0.39,1.691,5.162,0.0,852.0,50,64
cand01062,0.04,7.953,27.94,0.0,778.1,45,56
cand01064,0.906,0.63,0.756,0.875,884.8,46,60
cand01065,0.344,2.71,6.192,0.143,732.2,40,44
cand01067,0.028,8.434,35.866,0.0,645.7,41,42
cand01070,0.022,9.53,40.706,0.0,771.3,63,143
cand01071,0.326,3.334,8.316,0.3,757.2,41,50
cand01072,0.031,14.286,28.578,0.0,820.2,43,55
cand01073,,,,,542.1,32,34
cand01075,0.249,3.76,9.058,0.143,827.7,42,49
cand01078,0.019,11.497,41.038,0.0,628.1,32,32
cand01080,0.018,10.986,44.634,0.0,683.2,39,47
cand01081,0.295,4.163,9.659,0.333,672.0,42,56
cand01090,,,,,627.3,33,45
cand01091,0.022,14.517,35.35,0.0,839.9,43,51
cand01096,0.019,10.963,43.188,0.0,697.7,37,40
cand01099,0.02,11.307,40.296,0.0,809.2,50,69
cand01102,,,,,545.8,34,41
cand01106,0.428,2.706,7.727,0.5,709.4,38,47
cand01108,0.68,1.395,3.745,0.667,775.3,43,51
cand01109,0.02,17.587,35.855,0.0,431.2,24,32
cand01110,0.049,14.228,21.504,0.0,814.8,42,59
cand01111,,,,,642.8,38,48
cand01112,0.033,7.53,33.353,0.0,609.3,29,36
cand01117,0.032,12.063,28.678,0.0,863.8,41,51
cand01119,0.399,2.332,7.348,0.333,678.4,39,48
cand01123,0.268,3.39,8.24,0.125,758.7,47,53
cand01128,,,,,653.5,35,44
cand01129,0.303,2.408,6.527,0.0,664.2,36,46
cand01131,,,,,781.9,49,57
cand01132,0.336,6.205,11.547,0.6,620.7,43,67
cand01135,0.021,9.779,41.017,0.0,829.6,42,49
cand01140,,,,,533.8,31,32
cand01141,0.028,8.966,34.237,0.0,616.1,33,31
cand01146,,,,,506.2,32,47
cand01147,0.021,14.125,36.481,0.0,795.0,43,51
cand01148,0.809,0.808,2.202,0.714,895.0,45,55
cand01152,0.036,8.18,29.999,0.0,707.2,38,41
cand01156,0.627,1.865,7.128,0.9,701.7,45,56
cand01160,0.315,3.449,7.912,0.25,801.8,43,53
cand01161,0.034,11.984,27.659,0.0,615.9,35,39
cand01163,0.05,10.908,21.787,0.0,847.4,50,71
cand01165,0.833,1.189,3.067,1.0,972.6,49,63
cand01170,0.683,0.966,3.692,0.5,681.4,36,52
cand01172,0.156,7.9,20.445,0.286,679.0,41,48
cand01174,0.018,11.062,44.574,0.0,743.2,38,46
cand01177,0.063,8.215,38.673,0.111,446.1,27,30
cand01183,0.866,0.783,1.82,0.857,985.5,50,73
cand01184,0.017,12.5,43.945,0.0,705.9,41,46
cand01188,0.062,8.598,38.569,0.111,704.1,41,45
cand01189,0.264,3.448,8.347,0.125,667.7,42,51
cand01193,0.068,8.19,18.731,0.0,917.4,51,55
cand01198,0.021,9.911,41.352,0.0,740.9,39,44
cand01199,,,,,595.6,31,37
cand01200,0.422,3.128,12.942,0.778,736.8,40,57
cand01208,0.068,9.665,18.05,0.0,716.3,41,59
cand01209,0.028,13.555,30.612,0.0,693.6,36,48
cand01211,0.343,2.744,11.455,0.444,768.6,42,51
cand01214,0.023,9.921,38.471,0.0,766.6,42,54
cand01216,0.609,1.661,4.157,0.571,834.3,46,57
cand01217,0.63,1.976,4.58,0.75,873.0,42,54
cand01220,0.046,7.269,26.011,0.0,674.5,36,40
cand01222,0.579,2.025,5.998,0.714,1001.9,50,69
cand01228,0.045,13.483,22.586,0.0,792.5,44,60
cand01237,0.787,0.952,2.269,0.714,956.7,49,58
cand01242,0.785,1.158,2.379,0.8,812.0,44,57
cand01246,0.027,13.331,31.157,0.0,741.9,44,58
cand01247,0.284,3.398,8.674,0.2,702.1,39,45
cand01248,0.37,2.258,4.212,0.0,721.3,38,48
cand01250,0.353,3.775,8.123,0.4,684.0,42,53
cand01251,0.155,6.448,14.785,0.167,739.3,41,48
cand01256,0.04,14.485,24.132,0.0,722.8,41,52
cand01273,0.475,2.329,7.301,0.556,636.6,35,41
cand01277,0.016,13.991,43.667,0.0,670.3,36,35
cand01279,0.04,13.676,24.291,0.0,748.5,41,50
cand01283,0.018,11.045,44.881,0.0,422.1,26,28
cand01284,0.139,8.056,21.615,0.25,730.4,41,54
cand01286,0.041,9.028,25.873,0.0,813.7,46,54
cand01287,0.362,2.881,9.498,0.429,653.8,34,35
cand01289,0.143,5.89,14.982,0.125,747.8,41,52
cand01294,0.023,12.362,35.674,0.0,731.9,40,45
cand01296,0.79,1.386,3.82,1.0,842.0,49,60
cand01298,0.028,13.57,30.429,0.0,521.5,28,32
cand01299,0.777,0.937,2.073,0.667,896.5,46,67
cand01301,0.015,13.066,45.98,0.0,724.7,40,53
cand01305,0.05,10.57,21.877,0.0,702.5,36,39
cand01308,0.185,5.123,8.936,0.0,811.8,46,57
cand01312,0.021,9.763,41.636,0.0,825.6,48,58
cand01315,0.11,4.364,15.777,0.0,866.6,48,62
cand01317,0.023,10.921,37.447,0.0,818.4,48,64
cand01318,0.043,7.027,27.778,0.0,568.7,35,34
cand01320,0.733,0.877,1.863,0.5,844.2,45,55
cand01324,0.245,4.168,12.405,0.3,751.5,43,50
cand01325,0.021,16.459,35.373,0.0,557.6,30,35
cand01326,0.021,13.884,36.442,0.0,808.9,50,59
cand01331,0.022,13.913,35.243,0.0,795.2,44,59
cand01333,0.079,5.309,19.314,0.0,755.5,56,124
cand01334,0.024,12.705,34.588,0.0,802.9,49,69
cand01335,0.689,1.481,3.621,0.714,980.1,45,61
cand01338,0.022,14.597,35.013,0.0,743.7,42,53
cand01342,0.02,11.331,40.554,0.0,917.8,49,65
cand01343,0.025,8.597,38.861,0.0,571.1,37,62
cand01344,0.739,1.069,2.376,0.625,799.2,44,57
cand01345,0.018,11.733,43.414,0.0,563.6,33,34
cand01346,0.181,5.113,11.236,0.1,649.5,35,46
cand01347,0.756,1.62,4.177,1.0,973.1,55,74
cand01349,,,,,939.5,49,57
cand01350,0.539,2.073,5.556,0.571,770.6,43,52
cand01353,0.022,9.568,40.57,0.0,923.0,48,64
cand01355,0.315,3.452,7.123,0.2,395.9,25,20
cand01357,0.866,1.067,2.286,1.0,694.2,41,46
cand01358,0.029,9.03,34.042,0.0,646.1,33,41
cand01359,0.022,14.158,35.526,0.0,687.6,36,45
cand01361,0.062,8.473,39.226,0.111,659.3,50,111
cand01362,,,,,832.1,43,50
cand01369,0.024,12.738,33.799,0.0,834.9,46,59
cand01370,0.566,2.458,9.843,1.0,682.7,40,54
cand01375,0.802,0.893,1.901,0.714,947.6,49,64
cand01378,0.512,2.769,6.331,0.667,830.2,47,61
cand01380,0.021,13.82,36.414,0.0,828.8,42,48
cand01384,0.357,2.374,4.455,0.0,780.9,41,51
cand01386,0.02,11.133,40.318,0.0,787.4,45,57
cand01390,0.149,4.5,14.812,0.1,762.7,45,55
cand01391,0.762,0.918,2.947,0.667,757.5,41,42
cand01393,0.025,8.8,38.748,0.0,523.3,31,33
cand01402,0.099,11.532,19.826,0.125,660.0,49,81
cand01403,0.854,0.839,2.108,0.857,860.7,44,55
cand01404,0.04,7.175,29.358,0.0,524.4,31,29
cand01405,0.146,7.23,20.426,0.25,726.3,44,69
cand01410,0.028,8.559,35.55,0.0,772.1,41,49
cand01413,0.02,14.497,37.253,0.0,878.3,42,54
cand01415,0.021,13.529,36.293,0.0,633.6,50,110
cand01420,0.733,1.83,4.287,1.0,948.3,49,69
cand01421,0.015,13.056,46.522,0.0,521.2,27,26
cand01422,0.023,9.512,39.369,0.0,670.1,39,40
cand01424,0.022,10.228,39.634,0.0,611.1,38,43
cand01425,0.173,4.197,17.89,0.222,607.1,37,43
cand01428,0.63,1.089,3.771,0.4,644.1,34,45
cand01430,0.422,2.379,7.622,0.429,708.4,39,48
cand01441,0.702,1.276,4.085,0.714,891.2,46,66
cand01443,0.306,4.657,10.535,0.429,745.3,40,52
cand01448,0.282,2.975,8.515,0.143,873.8,48,64
cand01451,0.02,10.101,42.872,0.0,714.5,39,42
cand01453,0.034,8.038,31.185,0.0,751.9,41,44
cand01454,0.404,3.046,15.183,0.778,781.6,46,56
cand01457,0.517,2.188,6.092,0.571,750.6,40,47
cand01458,0.02,10.737,41.089,0.0,675.0,40,48
cand01463,0.025,9.727,36.045,0.0,886.6,50,67
cand01469,0.789,0.748,3.558,0.714,827.2,42,58
cand01471,,,,,826.1,45,56
cand01484,0.021,9.361,42.619,0.0,555.4,41,58
cand01485,0.869,1.053,2.226,1.0,933.9,51,68
cand01486,0.044,11.77,23.293,0.0,905.7,47,59
cand01487,0.761,0.941,4.394,0.778,864.1,47,54
cand01489,0.091,6.336,23.108,0.1,806.4,43,53
cand01490,0.885,0.97,1.939,1.0,984.6,51,76
cand01491,0.027,14.925,31.014,0.0,536.3,25,31
cand01493,0.824,0.886,1.163,0.75,848.1,44,57
cand01495,,,,,806.0,43,58
cand01497,0.184,4.036,12.117,0.1,805.3,49,68
cand01499,0.025,9.038,38.278,0.0,793.7,42,49
cand01502,0.788,1.209,2.823,0.857,929.9,48,64
cand01505,0.019,12.797,39.711,0.0,758.8,42,48
cand01508,0.043,13.112,23.506,0.0,791.5,41,52
cand01514,0.774,1.443,4.229,1.0,900.6,46,57
cand01515,0.114,6.663,13.176,0.0,594.9,33,36
cand01516,0.264,3.339,13.274,0.333,689.2,36,42
cand01517,0.377,2.33,7.644,0.286,812.0,47,57
cand01522,0.839,1.129,3.163,1.0,865.9,48,60
cand01523,0.523,1.841,7.381,0.6,718.1,41,48
cand01524,0.019,11.519,41.646,0.0,997.8,51,72
cand01526,0.641,0.998,3.865,0.4,632.0,35,50
cand01528,0.198,3.054,10.439,0.0,721.7,44,57
cand01529,0.024,10.029,36.726,0.0,867.8,52,68
cand01531,0.022,9.749,40.717,0.0,890.6,53,63
cand01533,0.496,2.519,6.56,0.6,753.2,42,50
cand01536,0.047,14.843,22.006,0.0,970.3,56,78
cand01537,0.155,4.511,14.146,0.1,765.7,43,48
cand01543,0.777,0.871,3.304,0.714,854.1,45,56
cand01548,0.204,4.33,12.813,0.2,710.8,41,41
cand01549,0.822,1.251,3.195,1.0,977.2,53,65
cand01552,0.036,7.764,30.213,0.0,695.1,43,54
cand01553,0.376,3.332,7.557,0.4,857.9,48,64
cand01556,0.084,5.375,18.187,0.0,568.1,36,30
cand01558,0.704,1.462,3.08,0.714,856.7,43,54
cand01561,0.078,5.442,19.16,0.0,684.9,45,67
cand01567,0.109,5.641,19.317,0.1,838.3,45,51
cand01573,0.028,8.963,35.113,0.0,660.9,37,39
cand01575,0.015,13.944,45.098,0.0,619.4,33,36
cand01577,0.634,1.508,5.071,0.667,816.7,43,48
cand01578,0.493,2.319,10.263,0.778,546.2,30,35
cand01584,0.018,11.62,43.14,0.0,640.0,38,39
cand01585,0.021,10.301,40.978,0.0,714.6,38,44
cand01586,0.02,14.372,37.224,0.0,728.1,36,46
cand01587,0.04,8.982,26.743,0.0,652.6,34,40
cand01588,0.592,1.351,2.981,0.333,822.9,44,57
cand01589,0.021,14.218,36.605,0.0,716.9,39,46
cand01590,0.829,0.688,2.015,0.714,1010.5,46,55
cand01592,0.427,3.43,6.653,0.5,906.4,50,65
cand01594,,,,,695.4,42,44
cand01596,0.061,7.687,20.484,0.0,711.8,41,46
cand01598,0.174,4.616,15.768,0.2,706.8,42,48
cand01599,0.022,9.972,39.714,0.0,546.0,33,34
cand01605,0.022,9.66,39.795,0.0,755.9,44,47
cand01607,,,,,751.7,41,51
cand01608,0.028,9.973,32.782,0.0,619.9,31,34
cand01609,0.027,11.871,31.816,0.0,562.0,29,35
cand01614,,,,,815.9,50,62
cand01616,,,,,731.7,43,53
cand01618,0.458,2.867,6.133,0.5,779.0,42,53
cand01625,0.281,2.639,8.694,0.111,649.0,37,45
cand01626,0.076,6.764,30.719,0.111,756.9,41,51
cand01627,,,,,787.3,47,56
cand01628,0.063,6.251,21.555,0.0,730.3,44,49
cand01629,0.093,6.175,22.66,0.1,693.4,37,43
cand01630,0.016,20.247,39.686,0.0,503.0,24,31
cand01631,0.058,6.06,23.317,0.0,637.2,39,48
cand01632,0.861,0.823,1.809,0.857,974.6,45,57
cand01634,0.033,8.44,31.15,0.0,822.9,43,50
cand01635,0.364,2.299,4.325,0.0,736.1,41,50
cand01638,0.67,1.31,5.206,0.714,916.1,47,65
cand01641,0.121,5.561,17.872,0.111,643.4,39,49
cand01642,0.771,1.539,3.921,1.0,910.7,50,64
cand01648,0.031,12.26,29.049,0.0,559.8,33,40
cand01650,0.107,7.761,19.469,0.125,687.3,50,70
cand01662,0.181,3.52,13.682,0.111,712.7,42,44
cand01673,0.019,13.495,39.759,0.0,603.1,33,41
cand01676,0.16,4.31,13.928,0.1,842.5,42,48
cand01677,0.415,2.547,5.56,0.286,730.3,43,57
cand01682,,,,,841.0,49,59
cand01684,,,,,882.5,48,61
cand01685,0.021,10.888,39.654,0.0,613.1,39,45
cand01686,,,,,791.2,45,53
cand01687,0.894,0.936,1.701,1.0,933.7,52,79
cand01692,,,,,898.9,46,60
cand01693,0.814,1.271,3.451,1.0,922.8,51,66
cand01695,0.188,4.123,11.675,0.1,808.1,46,53
cand01697,0.793,1.357,3.869,1.0,895.8,49,62
cand01701,0.162,5.159,10.266,0.0,800.2,50,60
cand01705,0.105,4.574,16.102,0.0,864.4,47,65
cand01708,0.659,1.954,4.163,0.8,682.0,41,50
cand01709,0.869,1.054,2.197,1.0,796.2,44,61
cand01712,,,,,746.1,42,56
cand01714,0.038,8.823,27.506,0.0,877.0,51,64
cand01716,0.833,0.707,1.599,0.714,946.3,47,57
cand01718,0.446,3.316,7.799,0.625,790.6,44,54
cand01719,,,,,886.6,48,62
